200 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 39 25 36
1 35 22 45
2 1 45 10
3 27 1 33
4 50 19 20
5 14 18 40
6 50 71 93
7 87 95 59
8 21 45 9
9 26 19 21
10 33 9 24
11 96 79 19
12 91 15 85
13 3 27 23
14 87 99 6
15 28 69 83
16 23 40 46
17 45 70 83
18 8 92 75
19 90 81 21
20 98 76 61
21 81 93 20
22 44 26 44
23 46 43 16
24 8 9 5
25 50 3 42
26 95 65 57
27 9 23 33
28 87 60 80
29 35 76 86
30 62 54 96
31 43 16 23
32 46 49 20
33 46 2 15
34 20 79 87
35 30 49 16
36 28 75 84
37 8 24 23
38 77 4 67
39 29 24 1
40 40 92 96
41 70 95 78
42 90 78 16
43 80 72 16
44 23 24 24
45 69 34 75
46 54 71 60
47 31 80 81
48 57 92 90
49 18 33 18
50 96 45 69
51 10 25 11
52 100 17 85
53 11 22 48
54 49 10 38
55 67 26 83
56 96 80 62
57 58 95 68
58 72 44 80
59 93 94 81
60 3 100 91
61 13 20 2
62 76 85 65
63 14 31 13
64 83 28 99
65 16 38 26
66 80 13 71
67 96 55 72
68 34 46 3
69 40 97 67
70 99 79 61
71 49 6 13
72 57 74 65
73 95 76 12
74 94 37 79
75 70 10 93
76 93 90 9
77 12 39 37
78 15 38 30
79 43 84 66
80 6 20 49
81 13 100 78
82 46 7 32
83 91 66 92
84 88 91 48
85 76 99 63
86 31 45 29
87 22 22 7
88 28 93 66
89 35 21 6
90 36 14 17
91 38 90 91
92 36 40 19
93 77 72 5
94 37 42 8
95 77 92 15
96 19 37 11
97 98 80 78
98 48 13 21
99 92 40 67
100 90 58 96
101 15 42 5
102 13 6 44
103 22 96 81
104 66 50 84
105 48 3 24
106 14 40 26
107 23 12 6
108 100 89 28
109 62 54 77
110 35 6 22
111 82 19 79
112 4 91 77
113 92 8 67
114 4 50 6
115 13 45 46
116 31 43 7
117 11 37 12
118 36 18 40
119 85 90 67
120 52 93 70
121 35 36 47
122 13 4 5
123 7 47 40
124 94 99 37
125 27 30 37
126 75 17 73
127 94 51 51
128 41 68 83
129 72 28 98
130 82 28 69
131 19 36 9
132 18 49 18
133 5 31 8
134 70 34 91
135 7 10 16
136 39 6 18
137 73 33 95
138 39 17 16
139 26 35 36
140 95 33 78
141 84 12 81
142 2 98 78
143 70 28 82
144 76 65 88
145 40 35 30
146 1 89 69
147 66 67 71
148 50 85 81
149 18 41 50
150 86 93 50
151 11 87 85
152 88 19 79
153 44 26 6
154 12 10 35
155 84 67 49
156 39 17 45
157 37 27 33
158 10 12 22
159 3 20 30
160 43 18 24
161 36 23 27
162 42 44 22
163 9 36 42
164 20 4 29
165 22 48 19
166 11 5 11
167 36 50 49
168 6 22 30
169 83 96 5
170 88 3 90
171 88 67 31
172 42 2 4
173 24 83 87
174 5 6 21
175 44 1 26
176 17 25 48
177 7 42 14
178 22 16 41
179 11 25 28
180 47 12 1
181 34 43 40
182 50 4 14
183 92 7 97
184 18 46 16
185 33 5 47
186 1 29 17
187 25 40 50
188 18 19 1
189 31 100 87
190 73 2 82
191 40 92 83
192 47 12 27
193 97 45 74
194 49 49 39
195 79 14 73
196 53 82 74
197 74 78 34
198 37 27 3
199 1 98 67
